fold,in_selection,origin,model,segment,wape,overall_wape
1,False,2024-05-19,seasonal_naive,erratic,0.6186,0.8677
1,False,2024-05-19,seasonal_naive,lumpy,1.2682,0.8677
1,False,2024-05-19,seasonal_naive,intermittent,1.024,0.8677
1,False,2024-05-19,trend_seasonal,erratic,0.6372,0.8166
1,False,2024-05-19,trend_seasonal,lumpy,1.092,0.8166
1,False,2024-05-19,trend_seasonal,intermittent,1.0499,0.8166
1,False,2024-05-19,recent_level,erratic,0.8624,0.9945
1,False,2024-05-19,recent_level,lumpy,1.2264,0.9945
1,False,2024-05-19,recent_level,intermittent,0.9158,0.9945
1,False,2024-05-19,zero_forecast,erratic,1.0,1.0
1,False,2024-05-19,zero_forecast,lumpy,1.0,1.0
1,False,2024-05-19,zero_forecast,intermittent,1.0,1.0
1,False,2024-05-19,auto_ets,erratic,0.8332,0.9971
1,False,2024-05-19,auto_ets,lumpy,1.2905,0.9971
1,False,2024-05-19,auto_ets,intermittent,0.668,0.9971
1,False,2024-05-19,theta,erratic,0.625,0.7014
1,False,2024-05-19,theta,lumpy,0.8255,0.7014
1,False,2024-05-19,theta,intermittent,0.6714,0.7014
1,False,2024-05-19,croston_sba,erratic,0.8162,1.0235
1,False,2024-05-19,croston_sba,lumpy,1.3891,1.0235
1,False,2024-05-19,croston_sba,intermittent,0.6934,1.0235
1,False,2024-05-19,tsb,erratic,0.8123,0.9644
1,False,2024-05-19,tsb,lumpy,1.227,0.9644
1,False,2024-05-19,tsb,intermittent,0.7393,0.9644
1,False,2024-05-19,compound_bernoulli,erratic,0.8229,0.8953
1,False,2024-05-19,compound_bernoulli,lumpy,1.0118,0.8953
1,False,2024-05-19,compound_bernoulli,intermittent,0.7117,0.8953
1,False,2024-05-19,cluster_lgbm,erratic,0.6959,0.819
1,False,2024-05-19,cluster_lgbm,lumpy,1.0273,0.819
1,False,2024-05-19,cluster_lgbm,intermittent,0.6648,0.819
1,False,2024-05-19,chronos_tiny,erratic,0.8192,0.8574
1,False,2024-05-19,chronos_tiny,lumpy,0.9196,0.8574
1,False,2024-05-19,chronos_tiny,intermittent,0.6348,0.8574
1,False,2024-05-19,hurdle,erratic,0.8252,0.8763
1,False,2024-05-19,hurdle,lumpy,0.9453,0.8763
1,False,2024-05-19,hurdle,intermittent,0.9707,0.8763
1,False,2024-05-19,tweedie_glm,erratic,0.5616,0.5964
1,False,2024-05-19,tweedie_glm,lumpy,0.6324,0.5964
1,False,2024-05-19,tweedie_glm,intermittent,0.7064,0.5964
1,False,2024-05-19,hierarchy_borrow,erratic,0.6186,0.8677
1,False,2024-05-19,hierarchy_borrow,lumpy,1.2682,0.8677
1,False,2024-05-19,hierarchy_borrow,intermittent,1.024,0.8677
